Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.640120,-110.859880,0.000000,top
"C2","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",84.640120,-116.859880,90.000000,top
"C3","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",93.527620,-132.109880,0.000000,top
"C4","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.890120,-118.359880,180.000000,top
"C5","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",95.390120,-121.609880,45.000000,top
"C6","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",76.640120,-124.859880,180.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",102.890120,-129.609880,-135.000000,top
"C8","4u7","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.140120,-130.859880,-135.000000,top
"C9","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",91.890120,-125.109880,90.000000,top
"C10","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",93.640120,-125.109880,90.000000,top
"C11","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",85.527620,-131.859880,180.000000,top
"D1","WS2812B","LED_OPSCO_SK6812_PLCC4_5.0x5.0mm_P3.1mm",85.390120,-137.359880,-90.000000,top
"FB1","120R","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",90.140120,-125.109880,-90.000000,top
"J1","Power","PinSocket_1x02_P2.54mm_Vertical",78.390120,-106.334880,90.000000,top
"J2","SSD1306 Display","SSD1306",115.640120,-121.109880,0.000000,top
"J3","SWD","PinHeader_1x04_P2.54mm_Vertical",111.180120,-107.359880,-90.000000,top
"LED1","LTST-C170KGKT","LED_LTST-C170KGKT_LTO",86.213020,-113.359880,0.000000,top
"LED2","LTST-C170KGKT","LED_LTST-C170KGKT_LTO",100.963020,-139.859880,0.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.890120,-126.859880,0.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",104.890120,-125.359880,0.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",87.640120,-116.859880,90.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",95.640120,-112.197380,90.000000,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",100.963020,-137.859880,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm",78.890120,-127.359880,-90.000000,top
"SW2","SW_Nidec_CAS-120A1","Nidec_Copal_CAS-120A",95.640120,-107.797380,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",79.640120,-116.609880,-90.000000,top
"U2","HDC2010YPAR","BGA6C100X50P2X3_HDC2010YPAR",109.890120,-121.109880,-90.000000,top
"U3","STM32L432KCU6","STM32L432KCU6",98.940120,-125.674880,0.000000,top
"Y1","8MHz Crystal","Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm",93.527620,-129.609880,90.000000,top
